Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"0097","N0001914G0020","18","0","DO Delivery Order","$27,000,000.00","May 11, 2022",,"1700","DEPT OF THE NAVY","NAVAL AIR SYSTEMS COMMAND","S","AC15","NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP","336411","AIRCRAFT MANUFACTURING","FORT WORTH","TX","761083619","NONE","NONE OF THE ABOVE","G4KDGE4JFFK7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","81755",
"80JSC019C0012",,"P00078",0,"IDC Indefinite Delivery Contract","$16,150,000.00","Feb 22, 2022",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA JOHNSON SPACE CENTER","P","1555","SPACE VEHICLES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"80JSC019C0012",,"P00099",0,"IDC Indefinite Delivery Contract","$81,896,889.15","Sep 27, 2022",,"8000","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION","NASA JOHNSON SPACE CENTER","P","1555","SPACE VEHICLES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","LITTLETON","CO","801258504","NONE","NONE OF THE ABOVE","FYHNA5WC8XD7","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","04236",
"FA821419F0002","FA821419D0001","P00016","0","DO Delivery Order","$18,238,120.47","May 25, 2022","Apr 17, 2019","5700","DEPT OF THE AIR FORCE","FA8214  AFNWC PZBB","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541330","ENGINEERING SERVICES","KING OF PRUSSIA","PA","194062902","NONE","NONE OF THE ABOVE","KFN4YJH98D51","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","79272",
"FA821419F0005","FA821419D0001","P00010","0","DO Delivery Order","$14,495,796.67","Jun 22, 2022","Apr 17, 2019","5700","DEPT OF THE AIR FORCE","FA8214  AFNWC PZBB","S","J014","MAINT/REPAIR/REBUILD OF EQUIPMENT- GUIDED MISSILES","541330","ENGINEERING SERVICES","KING OF PRUSSIA","PA","194062902","NONE","NONE OF THE ABOVE","KFN4YJH98D51","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","79272",
"FA821420F0001","FA821419D0001","P00008","0","DO Delivery Order","$10,766,000.00","Apr 15, 2022","Aug 8, 2019","5700","DEPT OF THE AIR FORCE","FA8214  AFNWC PZBB","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","541330","ENGINEERING SERVICES","KING OF PRUSSIA","PA","194062902","NONE","NONE OF THE ABOVE","KFN4YJH98D51","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","79272",
"FA850420C0002",,"P00006","0","DCA Definitive Contract","$13,090,684.02","Mar 4, 2022","Apr 24, 2019","5700","DEPT OF THE AIR FORCE","FA8504  AFLCMC WLNKA","P","1560","AIRFRAME STRUCTURAL COMPONENTS","336411","AIRCRAFT MANUFACTURING","MARIETTA","GA","300630001","NONE","NONE OF THE ABOVE","SJDEB3MKJEW5","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","98897",
"FA852820F0007","FA852819D0015","P00020","0","DO Delivery Order","$11,557,313.00","Mar 28, 2022","Feb 19, 2019","5700","DEPT OF THE AIR FORCE","FA8528  AFLCMC WIKA","S","R425","SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL","336411","AIRCRAFT MANUFACTURING","PALMDALE","CA","935990001","NONE","NONE OF THE ABOVE","LXKGXB75YKY6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","0L1E5",
"FA852822F0012","FA852819D0015","0","0","DO Delivery Order","$10,696,421.00","Jan 26, 2022","Jan 26, 2022","5700","DEPT OF THE AIR FORCE","FA8528  AFLCMC WIKA","P","1560","AIRFRAME STRUCTURAL COMPONENTS","336411","AIRCRAFT MANUFACTURING","PALMDALE","CA","935990001","NONE","NONE OF THE ABOVE","LXKGXB75YKY6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","0L1E5",
"FA852822F0029","FA852819D0015","0","0","DO Delivery Order","$11,661,381.00","Jul 26, 2022","Jul 26, 2022","5700","DEPT OF THE AIR FORCE","FA8528  AFLCMC WIKA","P","1560","AIRFRAME STRUCTURAL COMPONENTS","336411","AIRCRAFT MANUFACTURING","PALMDALE","CA","935990001","NONE","NONE OF THE ABOVE","LXKGXB75YKY6","ZFN2JJXBLZT3","LOCKHEED MARTIN CORPORATION","LOCKHEED MARTIN CORPORATION","0L1E5",
