RANK2022,RANK2021,Company,Country,ArmsRevenue2022,ArmsRevenue2021,TotalRevenue2022,ArmsRevenueTotalRevnue2022
1,1,Lockheed Martin Corp.,United States,59390,60340,65984,90%
2,2,Raytheon Technologies,United States,39570,41850,67074,59%
3,4,Northrop Grumman Corp.,United States,32300,29880,36602,88%
4,3,Boeing,United States,29300,33420,66608,44%
5,5,General Dynamics Corp.,United States,28320,27760,39407,72%
6,6,BAE Systems,United Kingdom,26900,27490,27712,97%
7,7,NORINCO,China,22060,21570,82537,27%
8,8,AVIC,China,20620,20110,82499,25%
9,9,CASC,China,19560,19100,44458,44%
10,10,Rostec,Russia,16810,15550,30295,55%
11,11,CETC,China,15080,14990,55837,27%
12,13,L3Harris Technologies,United States,12630,13360,17062,74%
13,12,Leonardo,Italy,12470,13870,15025,83%
14,16,Airbus,Trans-European,12090,10850,61805,20%
15,14,CASIC,China,11770,12870,37364,32%
16,15,CSSC,China,10440,10870,51443,20%
17,17,Thales,France,9420,9770,18479,51%
18,18,HII,United States,8750,8570,10676,82%
19,19,Leidos,United States,8240,8030,14287,58%
20,25,Amentum,United States,6560,5020,8750,75%
21,21,CSGC,China,6460,5910,42507,15%
22,22,Booz Allen Hamilton,United States,5900,5600,9259,64%
23,20,Dassault Aviation Group,France,5070,6250,7288,70%
24,29,Elbit Systems,Israel,4960,4750,5512,90%
25,26,Rolls-Royce,United Kingdom,4930,4970,15647,32%
26,32,CACI International,United States,4820,4330,6703,72%
27,23,Honeywell International,United States,4630,5150,35466,13%
28,31,Rheinmetall,Germany,4550,4450,6742,67%
29,30,Naval Group,France,4530,4740,4578,99%
30,28,Peraton,United States,4410,4830,7000,63%
31,33,General Electric,United States,4410,4140,76555,5.8%
32,27,MBDA,Trans-European,4380,4960,4428,99%
33,40,KBR,United States,4270,3530,6564,65%
34,24,Safran,France,4200,5050,20021,21%
35,38,Israel Aerospace Industries,Israel,4100,3870,4973,82%
36,36,United Shipbuilding Corp.,Russia,3950,4020,5011,79%
37,37,Sandia National Laboratories,United States,3920,3900,4409,89%
38,39,Science Applications International Corp.,United States,3780,3550,7704,49%
